18:54:30 INFO  tests.TestBase              @@@@@@@@@ START TEST public void tests.RemoveContactTests.removeAllContactsTest()   @@@@@@@@@@
18:54:30 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //*[text()='Sign Out']
18:54:33 INFO  manager.MyListener  Element  with locator -->   By.xpath: //*[text()='Sign Out']  is found!!!
18:54:33 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //*[text()='LOGIN']
18:54:33 INFO  manager.MyListener  Element  with locator -->   By.xpath: //*[text()='LOGIN']  is found!!!
18:54:33 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //input[1]
18:54:33 INFO  manager.MyListener  Element  with locator -->   By.xpath: //input[1]  is found!!!
18:54:33 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //input[2]
18:54:33 INFO  manager.MyListener  Element  with locator -->   By.xpath: //input[2]  is found!!!
18:54:34 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //button[1]
18:54:34 INFO  manager.MyListener  Element  with locator -->   By.xpath: //button[1]  is found!!!
18:54:34 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //div[@class='contact-item_card__2SOIM']
18:54:37 INFO  manager.MyListener  Element  with locator -->   By.xpath: //div[@class='contact-item_card__2SOIM']  is found!!!
18:54:37 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //div[@class='contact-item_card__2SOIM']
18:54:40 INFO  manager.MyListener  Element  with locator -->   By.xpath: //div[@class='contact-item_card__2SOIM']  is found!!!
18:54:40 INFO  tests.TestBase              ######### FINISHED TEST public void tests.RemoveContactTests.removeAllContactsTest()  ##########
